Cause,Facility_Name,count
A,Shearon Harris Nuclear Power Plant,3
A,Joseph M. Farley Nuclear Plant,1
A,North Anna Power Station,1
A,South Texas,1
A,Surry Power Station,1
B,Beaver Valley Power Station,3
B,Catawba Nuclear Station,2
B,Comanche Peak Nuclear Power Plant,2
B,Joseph M. Farley Nuclear Plant,2
B,Wolf Creek Generating Station,2
B,V.C. Summer Nuclear Station,1
B,Vogtle Electric Generating Plant,1
C,Shearon Harris Nuclear Power Plant,1
D,Callaway Plant.,1
D,Catawba Nuclear Station,1
E,Joseph M. Farley Nuclear Plant,1
X,Shearon Harris Nuclear Power Plant,3
X,Catawba Nuclear Station,1
X,Diablo Canyon Power Plant,1
X,Donald C. Cook Nuclear Plant,1
X,Joseph M. Farley Nuclear Plant,1
X,Point Beach Nuclear Plant,1
X,Prairie Island Nuclear Generating Plant,1
X,Seabrook Station,1
X,Sequoyah Nuclear Plant,1
X,South Texas,1
