ler,Cause,System,Component,Manufacturer,Reportable_to_IRIS,flags,Facility_Name,Unit,Event_Date,CFR,Title,Event_Date_parsed,Event_YYYYMM,Event_Year,System_Category,System_BaseCode,is_quality_ok,Extracted_Cause_Text,Extracted_Cause_Category,Extracted_Cause_Code
0252023002R00,D,EA,RLY,,Yes,['manufacturer_gibberish_or_code'],,,,,,,,,unknown,,True,,,
0252023003R00,B,JJ,DCC,,No,['manufacturer_gibberish_or_code'],,,,,,,,,unknown,,True,,,
0252023004R00,B,SM,LCV,Flowserve,No,[],Vogtle Electric Generating Plant,3,5/2/2023,50.73.(a)(2)(iv)(A),Manual Reactor Protection System Actuation Due to Condenser Flanges Not Removed During Construction,2023-05-02,2023-05,2023.0,unknown,,True,shipping flanges which had remained installed in the condensate flowpath,not_applicable,NA-HW
2442021001R00,B,BI,MO,US Motors,Yes,[],,,,,,,,,unknown,,True,,,
2442023001R00,D,EB,BKR,,Yes,['manufacturer_gibberish_or_code'],,,,,,,,,unknown,,True,,,
2442023002R00,D,JJ,12,,Yes,['manufacturer_gibberish_or_code'],,,,,,,,,unknown,,True,,,
2442023003R01,B,LD,PCV,,Yes,['manufacturer_gibberish_or_code'],,,,,,,,,unknown,,True,,,
2502021001R00,B,AA,BKR,,Yes,['manufacturer_gibberish_or_code'],,,,,,,,,unknown,,True,,,
2502023003R00,C,FK,87,,Yes,['manufacturer_gibberish_or_code'],,,,,,,,,unknown,,True,,,
2502023004R00,,,,(cid:9) N/A N/A,Yes,"['bad_cause', 'system_missing', 'component_missing', 'record_low_quality']",,,,,,,,,unknown,,False,,,
2502024002R01,B,BP,V,,Yes,['manufacturer_missing'],,,,,,,,,unknown,,True,,,
2612023001R00,B,LK,RG,,Yes,['manufacturer_gibberish_or_code'],,,,,,,,,unknown,,True,,,
2612023002R00,B,AA,BKR,,Yes,['manufacturer_gibberish_or_code'],,,,,,,,,unknown,,True,,,
2662021001R00,X,SE,RLY,Cutler Hammer -C770,No,[],Point Beach Nuclear Plant,1,7/31/2021,50.73.(a)(2)(iv)(A),Main feedwater pump trip results in manual reactor trip.,2021-07-31,2021-07,2021.0,unknown,,True,failure of the main steam generator feedwater pump B motor,not_applicable,NA-ME
2752023001R00,X,SM,LCV,Fisher,Yes,[],,,,,,,,,unknown,,True,,,
2802022001R00,C,JE,LE,,Yes,['manufacturer_gibberish_or_code'],,,,,,,,,unknown,,True,,,
2802022002R00,B,EK,DG,,Yes,['manufacturer_gibberish_or_code'],,,,,,,,,unknown,,True,,,
2802022003R00,A,VK,FAN,,Yes,['manufacturer_gibberish_or_code'],Surry Power Station,1,9/15/2022,"50.73.(a)(2)(i)(B), 50.73.(a)(2)(v)(A), 50.73.(a)(2)(vii)",Loss of Emergency Switchgear Room Cooling Due to Use of Incorrect Air Handler Fan V-Belts,2022-09-15,2022-09,2022.0,unknown,,True,the V-belt vendor sent a different variant of the BX-99 V-belt ordered,not_applicable,NA-OP
3062023001R00,X,FC,LAR,,Yes,['manufacturer_gibberish_or_code'],Prairie Island Nuclear Generating Plant,2,5/27/2023,50.73.(a)(2)(iv)(A),2GT/XFMR lockout due to failure of lightning arrester caused Unit 2 Reactor Trip,2023-05-27,2023-05,2023.0,steam-feedwater,FC,True,failure of the A-phase lightning arrester on 2GT/XFMR,not_applicable,NA-EN
3152021001R00,B,EA,BU,Powell,Yes,[],,,,,,,,,unknown,,True,,,
3152022001R00,X,TA,TRB,,Yes,['manufacturer_gibberish_or_code'],Donald C. Cook Nuclear Plant,1,5/24/2022,50.73.(a)(2)(iv)(A),Manual Reactor Trip Following Manual Turbine Trip due to High Vibrations on Main Turbine,2022-05-24,2022-05,2022.0,unknown,,True,high vibrations due to an apparent rub,not_applicable,NA-ME
3152022002R00,X,BC,DR,,Yes,['manufacturer_gibberish_or_code'],,,,,,,,,unknown,,True,,,
3152022003R01,X,AB,P,,Yes,['manufacturer_gibberish_or_code'],,,,,,,,,unknown,,True,,,
3152023001R00,,,,,Yes,"['bad_cause', 'system_header_leak', 'component_header_leak', 'manufacturer_over_len', 'record_low_quality']",,,,,,,,,unknown,,False,,,
3162021001R00,X,SB,RV,Dresser,Yes,[],,,,,,,,,unknown,,True,,,
3162021002R00,X,SB,EXJ,Pathway,Yes,[],,,,,,,,,unknown,,True,,,
3232021001R00,X,DC,DG,,No,['manufacturer_gibberish_or_code'],,,,,,,,,electrical,DC,True,,,
3232022001R00,X,AB,PSF,,Yes,['manufacturer_missing'],Diablo Canyon Power Plant,2,10/23/2022,50.73.(a)(2)(ii)(A),Unit 2 Reactor Coolant System Pressure Boundary Degradation,2022-10-23,2022-10,2022.0,unknown,,True,vibration-induced fatigue propagation of a flaw initiated at a weld defect,not_applicable,NA-HW
3282021001R00,X,BC,MPX,,No,['manufacturer_gibberish_or_code'],Sequoyah Nuclear Plant,2,7/25/2021,"50.73.(a)(2)(v)(C), 50.73.(a)(2)(v)(D)",Ice Bed Inoperable Due to Exceeding Surveillance Requirement Frequency,2021-07-25,2021-07,2021.0,unknown,,True,the SQN Unit 2 ice bed temperature monitoring system stopped providing accurate data for the ice bed,not_applicable,NA-ME
3342022001R00,B,SN,LCV,,Yes,['manufacturer_gibberish_or_code'],Beaver Valley Power Station,1,6/15/2022,50.73.(a)(2)(iv)(A),Manual Reactor Trip and Auxiliary Feedwater Actuation due to Heater Drain System Valve Failure,2022-06-15,2022-06,2022.0,unknown,,True,valve plug to stem separation,not_applicable,NA-ME
3382022001R01,X,AA,CBD,,No,['manufacturer_gibberish_or_code'],,,,,,,,,unknown,,True,,,
3392023001R00,A,AB,TBG,,Yes,['manufacturer_missing'],North Anna Power Station,Unknown Unit,10/3/2023,50.73.(a)(2)(ii)(A),Reactor Coolant Pressure Boundary Leak Due to Poor Weld Workmanship,2023-10-03,2023-10,2023.0,unknown,,True,,,
3482023001R00,X,EL,62,,Yes,['manufacturer_gibberish_or_code'],,,,,,,,,unknown,,True,,,
3482023002R00,A,BP,52,,No,['manufacturer_gibberish_or_code'],Joseph M. Farley Nuclear Plant,1,10/2/2023,50.73.(a)(2)(i)(B),Residual Heat Removal Pump Inoperable for Longer than Allowed by Technical Specifications,2023-10-02,2023-10,2023.0,unknown,,True,an inadvertent misposition of the wrong breaker during the 1B Emergency Diesel (EDG) surveillance,not_applicable,NA-OP
3482023003R00,B,R,SPT,,Yes,['manufacturer_gibberish_or_code'],Joseph M. Farley Nuclear Plant,1,2/26/2023,50.73.(a)(2)(i)(B),Unit 1 Emergency Diesel Generator (EDG) lube oil pump outlet coupling leak,2023-02-26,2023-02,2023.0,unknown,,True,,,
3642023001R00,E,AB,RV,,Yes,['manufacturer_gibberish_or_code'],Joseph M. Farley Nuclear Plant,2,8/1/2023,50.73.(a)(2)(i)(B),Pressurizer Code Safety Valve Lift Pressure Outside of Technical Specifications Limits,2023-08-01,2023-08,2023.0,unknown,,True,internal steam cutting of the disc insert and nozzle,not_applicable,NA-ME
3642023002R00,X,SB,RV,,Yes,['manufacturer_gibberish_or_code'],,,,,,,,,unknown,,True,,,
3642023003R00,X,AB,RV,,Yes,['manufacturer_gibberish_or_code'],Joseph M. Farley Nuclear Plant,2,10/24/2023,50.73.(a)(2)(i)(B),Pressurizer Code Safety Valve Lift Pressure Outside of Technical Specifications Limits,2023-10-24,2023-10,2023.0,unknown,,True,Setpoint drift of the PSV,not_applicable,NA-ME
3642024001R00,B,JB,FCO,,Yes,['manufacturer_gibberish_or_code'],Joseph M. Farley Nuclear Plant,2,11/14/2023,50.73.(a)(2)(iv)(A),Manual Reactor Trip due to Rising Steam Generator Levels,2023-11-14,2023-11,2023.0,unknown,,True,Ovation steam and feedwater flow signal errors resulting in the automatic feedwater controls transferring to 'high power mode' at a lower reactor power level than designed (10% versus 20%),not_applicable,NA-ME
3912021001R00,B,EA,52,,Yes,['manufacturer_gibberish_or_code'],,,,,,,,,unknown,,True,,,
3952021001R01,B,KM,CHU,,Yes,['manufacturer_gibberish_or_code'],,,,,,,,,unknown,,True,,,
